,record_id,region,trending_date,category_title,videos_count,month,week_days
0,1,France,2017-11-14,Autos & Vehicles,8,46,2017-11-13/2017-11-19
1,2,France,2017-11-15,Autos & Vehicles,2,46,2017-11-13/2017-11-19
2,3,France,2017-11-16,Autos & Vehicles,6,46,2017-11-13/2017-11-19
3,4,France,2017-11-17,Autos & Vehicles,8,46,2017-11-13/2017-11-19
4,5,France,2017-11-18,Autos & Vehicles,4,46,2017-11-13/2017-11-19
5,6,France,2017-11-19,Autos & Vehicles,10,46,2017-11-13/2017-11-19
6,7,France,2017-11-20,Autos & Vehicles,12,47,2017-11-20/2017-11-26
7,8,France,2017-11-21,Autos & Vehicles,8,47,2017-11-20/2017-11-26
8,9,France,2017-11-22,Autos & Vehicles,4,47,2017-11-20/2017-11-26
9,10,France,2017-11-23,Autos & Vehicles,6,47,2017-11-20/2017-11-26
10,11,France,2017-11-24,Autos & Vehicles,8,47,2017-11-20/2017-11-26
11,12,France,2017-11-25,Autos & Vehicles,8,47,2017-11-20/2017-11-26
12,13,France,2017-11-26,Autos & Vehicles,10,47,2017-11-20/2017-11-26
13,14,France,2017-11-27,Autos & Vehicles,26,48,2017-11-27/2017-12-03
14,15,France,2017-11-28,Autos & Vehicles,16,48,2017-11-27/2017-12-03
15,16,France,2017-11-29,Autos & Vehicles,4,48,2017-11-27/2017-12-03
16,17,France,2017-11-30,Autos & Vehicles,10,48,2017-11-27/2017-12-03
17,18,France,2017-12-01,Autos & Vehicles,12,48,2017-11-27/2017-12-03
18,19,France,2017-12-02,Autos & Vehicles,6,48,2017-11-27/2017-12-03
19,20,France,2017-12-03,Autos & Vehicles,4,48,2017-11-27/2017-12-03
20,21,France,2017-12-04,Autos & Vehicles,8,49,2017-12-04/2017-12-10
21,22,France,2017-12-05,Autos & Vehicles,8,49,2017-12-04/2017-12-10
22,23,France,2017-12-06,Autos & Vehicles,8,49,2017-12-04/2017-12-10
23,24,France,2017-12-07,Autos & Vehicles,6,49,2017-12-04/2017-12-10
24,25,France,2017-12-08,Autos & Vehicles,2,49,2017-12-04/2017-12-10
25,26,France,2017-12-09,Autos & Vehicles,4,49,2017-12-04/2017-12-10
26,27,France,2017-12-10,Autos & Vehicles,2,49,2017-12-04/2017-12-10
27,28,France,2017-12-12,Autos & Vehicles,4,50,2017-12-11/2017-12-17
28,29,France,2017-12-13,Autos & Vehicles,6,50,2017-12-11/2017-12-17
29,30,France,2017-12-14,Autos & Vehicles,4,50,2017-12-11/2017-12-17
30,31,France,2017-12-16,Autos & Vehicles,6,50,2017-12-11/2017-12-17
31,32,France,2017-12-17,Autos & Vehicles,4,50,2017-12-11/2017-12-17
32,33,France,2017-12-18,Autos & Vehicles,8,51,2017-12-18/2017-12-24
33,34,France,2017-12-19,Autos & Vehicles,8,51,2017-12-18/2017-12-24
34,35,France,2017-12-20,Autos & Vehicles,2,51,2017-12-18/2017-12-24
35,36,France,2017-12-21,Autos & Vehicles,6,51,2017-12-18/2017-12-24
36,37,France,2017-12-22,Autos & Vehicles,8,51,2017-12-18/2017-12-24
37,38,France,2017-12-23,Autos & Vehicles,8,51,2017-12-18/2017-12-24
38,39,France,2017-12-24,Autos & Vehicles,2,51,2017-12-18/2017-12-24
39,40,France,2017-12-26,Autos & Vehicles,4,52,2017-12-25/2017-12-31
40,41,France,2017-12-27,Autos & Vehicles,4,52,2017-12-25/2017-12-31
41,42,France,2017-12-28,Autos & Vehicles,10,52,2017-12-25/2017-12-31
42,43,France,2017-12-29,Autos & Vehicles,6,52,2017-12-25/2017-12-31
43,44,France,2017-12-30,Autos & Vehicles,6,52,2017-12-25/2017-12-31
44,45,France,2017-12-31,Autos & Vehicles,6,52,2017-12-25/2017-12-31
45,46,France,2018-01-01,Autos & Vehicles,2,1,2018-01-01/2018-01-07
46,47,France,2018-01-02,Autos & Vehicles,2,1,2018-01-01/2018-01-07
47,48,France,2018-01-03,Autos & Vehicles,4,1,2018-01-01/2018-01-07
48,49,France,2018-01-04,Autos & Vehicles,2,1,2018-01-01/2018-01-07
49,50,France,2018-01-05,Autos & Vehicles,8,1,2018-01-01/2018-01-07
50,51,France,2018-01-06,Autos & Vehicles,2,1,2018-01-01/2018-01-07
51,52,France,2018-01-08,Autos & Vehicles,6,2,2018-01-08/2018-01-14
52,53,France,2018-01-09,Autos & Vehicles,8,2,2018-01-08/2018-01-14
53,54,France,2018-01-12,Autos & Vehicles,10,2,2018-01-08/2018-01-14
54,55,France,2018-01-14,Autos & Vehicles,2,2,2018-01-08/2018-01-14
55,56,France,2018-01-15,Autos & Vehicles,2,3,2018-01-15/2018-01-21
56,57,France,2018-01-16,Autos & Vehicles,8,3,2018-01-15/2018-01-21
57,58,France,2018-01-17,Autos & Vehicles,2,3,2018-01-15/2018-01-21
